"","id","condition","model","parsname","pars","LL","BIC","AIC","age_group"
"130",44,"Stable","RFTDDM","a",2.79390628629181,19846.3223968308,39708.6717964175,39708.6717964175,"Old"
"131",44,"Stable","RFTDDM","t0",4.46474360922951,19846.3223968308,39708.6717964175,39708.6717964175,"Old"
"132",44,"Stable","RFTDDM","nk",31,19846.3223968308,39708.6717964175,39708.6717964175,"Old"
"133",45,"Decreasing","RFTDDM","a",6.21016748210572,20604.4011810637,41224.5904326942,41224.5904326942,"Old"
"134",45,"Decreasing","RFTDDM","t0",3.74775539922723,20604.4011810637,41224.5904326942,41224.5904326942,"Old"
"135",45,"Decreasing","RFTDDM","nk",17,20604.4011810637,41224.5904326942,41224.5904326942,"Old"
"136",46,"Stable","RFTDDM","a",7.28784201248355,11719.9652618474,23456.1654618505,23456.1654618505,"Old"
"137",46,"Stable","RFTDDM","t0",3.63586681346143,11719.9652618474,23456.1654618505,23456.1654618505,"Old"
"138",46,"Stable","RFTDDM","nk",39,11719.9652618474,23456.1654618505,23456.1654618505,"Old"
"139",47,"Stable","RFTDDM","a",2.19983764966115,37038.1685976671,74092.7159518766,74092.7159518766,"Old"
"140",47,"Stable","RFTDDM","t0",4.71282402166049,37038.1685976671,74092.7159518766,74092.7159518766,"Old"
"141",47,"Stable","RFTDDM","nk",53,37038.1685976671,74092.7159518766,74092.7159518766,"Old"
"142",48,"Decreasing","RFTDDM","a",2.12402171688301,6271.37465519212,12559.1408057993,12559.1408057993,"Old"
"143",48,"Decreasing","RFTDDM","t0",2.09437143396615,6271.37465519212,12559.1408057993,12559.1408057993,"Old"
"144",48,"Decreasing","RFTDDM","nk",48,6271.37465519212,12559.1408057993,12559.1408057993,"Old"
"145",49,"Stable","RFTDDM","a",2.2493313930119,6743.52492174818,13503.4917602664,13503.4917602664,"Old"
"146",49,"Stable","RFTDDM","t0",3.23513589625667,6743.52492174818,13503.4917602664,13503.4917602664,"Old"
"147",49,"Stable","RFTDDM","nk",60,6743.52492174818,13503.4917602664,13503.4917602664,"Old"
"148",50,"Decreasing","RFTDDM","a",2.27834937174854,8221.19639342456,16458.8221775049,16458.8221775049,"Old"
"149",50,"Decreasing","RFTDDM","t0",2.07333138262529,8221.19639342456,16458.8221775049,16458.8221775049,"Old"
"150",50,"Decreasing","RFTDDM","nk",85,8221.19639342456,16458.8221775049,16458.8221775049,"Old"
"151",51,"Stable","RFTDDM","a",3.46625195620705,306709.741700924,613434.960567745,613434.960567745,"Old"
"152",51,"Stable","RFTDDM","t0",6.15812808126403,306709.741700924,613434.960567745,613434.960567745,"Old"
"153",51,"Stable","RFTDDM","nk",52,306709.741700924,613434.960567745,613434.960567745,"Old"
