"","id","condition","model","parsname","pars","LL","convergence","BIC"
"226",46,"Stable","Ctl","tau",0.564831233628717,-303.675297781142,0,1.93730539298103
"227",46,"Stable","Ctl","sigma_ctl",0.223575005811883,-303.675297781142,0,1.93730539298103
"228",46,"Stable","RTF","tau0",56.7121717993253,-301.537752404691,0,8.6212199333455
"229",46,"Stable","RTF","sigma_rtf",22.792976235316,-301.537752404691,0,8.6212199333455
"230",46,"Stable","RTF","nk",32,-301.537752404691,0,8.6212199333455
"231",47,"Stable","Ctl","tau",0.306483589247203,-171.970788616555,0,3.07457419780503
"232",47,"Stable","Ctl","sigma_ctl",0.128014867673779,-171.970788616555,0,3.07457419780503
"233",47,"Stable","RTF","tau0",29.9242743926728,-167.612744361459,0,9.79567391674947
"234",47,"Stable","RTF","sigma_rtf",12.9835151715115,-167.612744361459,0,9.79567391674947
"235",47,"Stable","RTF","nk",45,-167.612744361459,0,9.79567391674947
"236",48,"Decreasing","Ctl","tau",0.281343687473869,-180.816496282428,0,2.97425808674372
"237",48,"Decreasing","Ctl","sigma_ctl",0.0775813588070406,-180.816496282428,0,2.97425808674372
"238",48,"Decreasing","RTF","tau0",35.6650654313753,-131.223475805566,0,10.341601326668
"239",48,"Decreasing","RTF","sigma_rtf",8.07852216656111,-131.223475805566,0,10.341601326668
"240",48,"Decreasing","RTF","nk",49,-131.223475805566,0,10.341601326668
"241",49,"Stable","Ctl","tau",0.510181637719045,-266.153776434213,0,2.20107495806021
"242",49,"Stable","Ctl","sigma_ctl",0.190075312640494,-266.153776434213,0,2.20107495806021
"243",49,"Stable","RTF","tau0",49.5791189539212,-261.727434199458,0,8.73392984428245
"244",49,"Stable","RTF","sigma_rtf",22.3548612223921,-261.727434199458,0,8.73392984428245
"245",49,"Stable","RTF","nk",10,-261.727434199458,0,8.73392984428245
"246",50,"Decreasing","Ctl","tau",0.179475625031912,-182.224998367478,0,2.95873909871695
"247",50,"Decreasing","Ctl","sigma_ctl",0.087509409989577,-182.224998367478,0,2.95873909871695
"248",50,"Decreasing","RTF","tau0",22.4221169122961,-208.439547140842,0,9.43839431263299
